epoch,train_loss,train_accuracy,model_internal,model,fold,history_file
4,0.4167363978595268,0.9941463414634146,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
5,0.4068055422713117,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
6,0.4019938423575424,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
7,0.4012877556172813,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
8,0.3975365317158583,0.9995121951219512,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
9,0.3975705229945299,1.0,EfficientNet_B0,EfficientNet-B0,5,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_05/history.csv
1,0.6368559570428802,0.9165853658536586,EfficientNet_B0,EfficientNet-B0,6,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_06/history.csv
2,0.424153619742975,0.995609756097561,EfficientNet_B0,EfficientNet-B0,6,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_06/history.csv
3,0.4170201381822911,0.9951219512195122,EfficientNet_B0,EfficientNet-B0,6,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_06/history.csv
4,0.412444346997796,0.997560975609756,EfficientNet_B0,EfficientNet-B0,6,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_06/history.csv
5,0.403493098980043,0.9990243902439024,EfficientNet_B0,EfficientNet-B0,6,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_06/history.csv
6,0.4032629477105489,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,6,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_06/history.csv
7,0.4045417577464406,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,6,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_06/history.csv
8,0.4043927126977502,0.9970731707317072,EfficientNet_B0,EfficientNet-B0,6,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_06/history.csv
1,0.6737875362721885,0.8936585365853659,EfficientNet_B0,EfficientNet-B0,7,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_07/history.csv
