regime,job_tag,channel,snr_db,method,BER_mean_std
mixed,MIXED,Impulsive,1.0,RNND_Zhu,1.720e-01 ± 2.74e-03
mixed,MIXED,Impulsive,1.0,SC,1.458e-01 ± 2.31e-03
mixed,MIXED,Impulsive,2.0,CNN_RNND,1.315e-01 ± 2.50e-03
mixed,MIXED,Impulsive,2.0,ML,1.035e-01 ± 1.51e-03
mixed,MIXED,Impulsive,2.0,PNND,1.525e-01 ± 4.06e-03
mixed,MIXED,Impulsive,2.0,Proposed_CA_CNN_RNND,1.244e-01 ± 4.15e-03
mixed,MIXED,Impulsive,2.0,RNND_Zhu,1.320e-01 ± 1.94e-03
mixed,MIXED,Impulsive,2.0,SC,1.040e-01 ± 1.34e-03
mixed,MIXED,Impulsive,3.0,CNN_RNND,9.375e-02 ± 1.18e-03
mixed,MIXED,Impulsive,3.0,ML,6.818e-02 ± 8.09e-04
mixed,MIXED,Impulsive,3.0,PNND,1.167e-01 ± 5.26e-03
mixed,MIXED,Impulsive,3.0,Proposed_CA_CNN_RNND,8.807e-02 ± 2.11e-03
mixed,MIXED,Impulsive,3.0,RNND_Zhu,9.547e-02 ± 1.61e-03
mixed,MIXED,Impulsive,3.0,SC,6.805e-02 ± 4.70e-04
mixed,MIXED,Impulsive,4.0,CNN_RNND,6.672e-02 ± 4.50e-04
mixed,MIXED,Impulsive,4.0,ML,4.405e-02 ± 1.41e-03
mixed,MIXED,Impulsive,4.0,PNND,8.835e-02 ± 4.93e-03
mixed,MIXED,Impulsive,4.0,Proposed_CA_CNN_RNND,6.215e-02 ± 2.03e-03
mixed,MIXED,Impulsive,4.0,RNND_Zhu,7.013e-02 ± 1.38e-03
mixed,MIXED,Impulsive,4.0,SC,4.401e-02 ± 1.67e-03
mixed,MIXED,Impulsive,5.0,CNN_RNND,4.704e-02 ± 1.31e-03
mixed,MIXED,Impulsive,5.0,ML,2.744e-02 ± 8.70e-04
mixed,MIXED,Impulsive,5.0,PNND,6.629e-02 ± 5.77e-03
mixed,MIXED,Impulsive,5.0,Proposed_CA_CNN_RNND,4.373e-02 ± 2.53e-03
mixed,MIXED,Impulsive,5.0,RNND_Zhu,5.031e-02 ± 1.21e-03
mixed,MIXED,Impulsive,5.0,SC,2.747e-02 ± 1.05e-03
mixed,MIXED,Impulsive,6.0,CNN_RNND,3.337e-02 ± 1.69e-03
mixed,MIXED,Impulsive,6.0,ML,1.798e-02 ± 5.86e-04
mixed,MIXED,Impulsive,6.0,PNND,4.948e-02 ± 6.01e-03
mixed,MIXED,Impulsive,6.0,Proposed_CA_CNN_RNND,3.063e-02 ± 2.87e-03
mixed,MIXED,Impulsive,6.0,RNND_Zhu,3.680e-02 ± 1.95e-03
mixed,MIXED,Impulsive,6.0,SC,1.808e-02 ± 6.18e-04
mixed,MIXED,Impulsive,7.0,CNN_RNND,2.496e-02 ± 1.60e-03
mixed,MIXED,Impulsive,7.0,ML,1.188e-02 ± 7.32e-04
mixed,MIXED,Impulsive,7.0,PNND,3.747e-02 ± 5.32e-03
mixed,MIXED,Impulsive,7.0,Proposed_CA_CNN_RNND,2.243e-02 ± 2.60e-03
mixed,MIXED,Impulsive,7.0,RNND_Zhu,2.739e-02 ± 1.21e-03
mixed,MIXED,Impulsive,7.0,SC,1.191e-02 ± 6.94e-04
mixed,MIXED,Rayleigh,0.0,CNN_RNND,2.835e-01 ± 1.64e-03
mixed,MIXED,Rayleigh,0.0,ML,1.988e-01 ± 2.19e-03
mixed,MIXED,Rayleigh,0.0,PNND,3.008e-01 ± 1.83e-03
mixed,MIXED,Rayleigh,0.0,Proposed_CA_CNN_RNND,2.255e-01 ± 2.07e-03
