regime,job_tag,holdout,channel,snr_db,method,repeats,BER_mean,BER_std,BLER_mean,BLER_std,SER_no_denoise_mean,SER_no_denoise_std,SER_after_mean,SER_after_std,SNR_before_dB_mean,SNR_before_dB_std,SNR_after_dB_mean,SNR_after_dB_std,SNR_gain_dB_mean,SNR_gain_dB_std,us_per_frame_mean,us_per_frame_std,BER_mean_std
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,4.0,PNND,5,0.09513142903645834,0.004919683272864964,0.32185872395833337,0.013560126023121106,0.0874114990234375,0.0007730400319669585,,0.0,-0.8243177384591766,0.04151980607631494,,0.0,,0.0,1.4185953621866552,0.06722736124843362,9.513e-02 ± 4.92e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,4.0,Proposed_CA_CNN_RNND,5,0.07264200846354166,0.0027561538999109226,0.24895833333333334,0.011901337267253422,0.0874114990234375,0.0007730400319669585,0.08739522298177083,0.0007761560708830192,-0.8243177384591766,0.04151980607631494,5.290205890539276,0.06660967650446224,6.1145236289984535,0.06752849659927139,1.5748132625503786,0.0668147574276119,7.264e-02 ± 2.76e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,4.0,RNND_Zhu,5,0.074456787109375,0.0013358699702198378,0.2351399739583333,0.006193616641640858,0.0874114990234375,0.0007730400319669585,0.058319091796875,0.0007895266355482879,-0.8243177384591766,0.04151980607631494,7.109112028976315,0.09178160350735791,7.933429767435493,0.0703340773716715,1.5658835612460582,0.07761100098087716,7.446e-02 ± 1.34e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,4.0,SC,5,0.044012451171875,0.0016677762599695376,0.10680338541666667,0.00334728974994872,,0.0,,0.0,,0.0,,0.0,,0.0,2.4827133302096627,0.12217914138039311,4.401e-02 ± 1.67e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,5.0,CNN_RNND,5,0.04862467447916667,0.0025023276864034223,0.18370768229166667,0.010108948457665893,0.0687744140625,0.0003916191325443688,0.0688690185546875,0.0004690461194762152,0.23897835682191965,0.02014876355953283,6.230587827067976,0.045302284266315856,5.991609470246056,0.05526769001886324,1.587627135298438,0.03623177138760847,4.862e-02 ± 2.50e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,5.0,ML,5,0.02743937174479167,0.0008702297268734689,0.06668294270833333,0.0011731176498888285,,0.0,,0.0,,0.0,,0.0,,0.0,102.24863667076534,3.745540844884845,2.744e-02 ± 8.70e-04
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,5.0,PNND,5,0.07156982421875,0.004081716408723059,0.2517903645833333,0.012631508671786295,0.0687744140625,0.0003916191325443688,,0.0,0.23897835682191965,0.02014876355953283,,0.0,,0.0,1.4053506011653858,0.05336150127225039,7.157e-02 ± 4.08e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,5.0,Proposed_CA_CNN_RNND,5,0.05092976888020834,0.002497604782358549,0.18338216145833333,0.009608139055090531,0.0687744140625,0.0003916191325443688,0.06884562174479167,0.000391883280514672,0.23897835682191965,0.02014876355953283,6.22294307936374,0.06900996115830735,5.98396472254182,0.08157248190642266,1.5709939437632177,0.060217298369022614,5.093e-02 ± 2.50e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,5.0,RNND_Zhu,5,0.054498291015625,0.0012901594651421263,0.17908528645833333,0.005952894097870573,0.0687744140625,0.0003916191325443688,0.04637451171875,0.00036963172036939986,0.23897835682191965,0.02014876355953283,8.06601879606068,0.07281287526030648,7.827040439238762,0.059156519159727916,1.5373786141026358,0.03856899733495345,5.450e-02 ± 1.29e-03
unseen,UNSEEN_Impulsive,Impulsive,Impulsive,5.0,SC,5,0.027473958333333336,0.0010455308211337509,0.06700846354166666,0.0012810599333426035,,0.0,,0.0,,0.0,,0.0,,0.0,2.5045613294120512,0.11963318261892122,2.747e-02 ± 1.05e-03
