model,fold,task,best_epoch,best_val_f1,test_loss,n_train_original,n_train_balanced,n_validation,n_test,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,specificity_macro,mcc,auc_ovr_macro
MobileNetV3_Small,8,five_class,3,0.9937362368485442,0.4253673515124628,1388,2050,155,171,0.9883040935672515,0.983939393939394,0.9898717948717948,0.983939393939394,0.9866658236278489,0.9969810890863522,0.985269256022144,1.0
MobileNetV3_Small,9,five_class,2,1.0,0.4296244372401321,1388,2050,155,171,0.9941520467836257,0.9939393939393939,0.9948717948717949,0.9939393939393939,0.9943256743256743,0.9984962406015038,0.9926407261249477,1.0
MobileNetV3_Small,10,five_class,5,1.0,0.41202834893388357,1388,2050,155,171,0.9941520467836257,0.9947368421052631,0.9941176470588236,0.9947368421052631,0.9943482587064676,0.9985507246376812,0.9926438919785384,1.0
EfficientNet_B0,1,five_class,1,1.0,0.41149273584055346,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EfficientNet_B0,2,five_class,1,1.0,0.42052097306695096,1387,2050,155,172,0.9941860465116279,0.9947368421052631,0.9904761904761905,0.9947368421052631,0.9924552845528455,0.9986842105263157,0.992688507866419,1.0
EfficientNet_B0,3,five_class,1,1.0,0.42188005322633787,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EfficientNet_B0,4,five_class,1,1.0,0.4138547140498494,1387,2050,155,172,0.9941860465116279,0.9939393939393939,0.9904761904761905,0.9939393939393939,0.9920450281425891,0.9986842105263157,0.9926868127949929,1.0
EfficientNet_B0,5,five_class,2,1.0,0.4093186761203565,1388,2050,155,171,0.9941520467836257,0.9939393939393939,0.9947368421052631,0.9939393939393939,0.9942564102564102,0.9985074626865671,0.9926397600213233,1.0
EfficientNet_B0,6,five_class,1,1.0,0.41304798851236263,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EfficientNet_B0,7,five_class,1,1.0,0.41489988304021064,1388,2050,155,171,0.9941520467836257,0.9947368421052631,0.9904761904761905,0.9947368421052631,0.9924552845528455,0.9986754966887418,0.9926438273823145,1.0
EfficientNet_B0,8,five_class,1,1.0,0.42972950959763334,1388,2050,155,171,0.9883040935672515,0.9800000000000001,0.99,0.9800000000000001,0.9843454790823211,0.9969924812030075,0.9853478789095762,0.9999208547685002
EfficientNet_B0,9,five_class,1,1.0,0.4240188541119559,1388,2050,155,171,0.9941520467836257,0.9939393939393939,0.9948717948717949,0.9939393939393939,0.9943256743256743,0.9984962406015038,0.9926407261249477,0.9998682476943348
EfficientNet_B0,10,five_class,4,1.0,0.40482184622022843,1388,2050,155,171,0.9941520467836257,0.9947368421052631,0.9941176470588236,0.9947368421052631,0.9943482587064676,0.9985507246376812,0.9926438919785384,1.0
ShuffleNetV2_x0_5,1,five_class,3,1.0,0.4139807321304499,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ShuffleNetV2_x0_5,2,five_class,8,1.0,0.40322703885477645,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ShuffleNetV2_x0_5,3,five_class,4,1.0,0.43744040228599723,1387,2050,155,172,0.9883720930232558,0.99,0.9885714285714287,0.99,0.9889894419306184,0.9971223021582734,0.9854577462566426,0.9998255940701984
ShuffleNetV2_x0_5,4,five_class,3,1.0,0.432476376378259,1387,2050,155,172,0.9941860465116279,0.9947368421052631,0.9904761904761905,0.9947368421052631,0.9924552845528455,0.9986842105263157,0.992688507866419,0.9999214454045562
ShuffleNetV2_x0_5,5,five_class,6,1.0,0.4110473174797861,1388,2050,155,171,0.9941520467836257,0.9939393939393939,0.9947368421052631,0.9939393939393939,0.9942564102564102,0.9985074626865671,0.9926397600213233,1.0
ShuffleNetV2_x0_5,6,five_class,3,1.0,0.4143200431302277,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ShuffleNetV2_x0_5,7,five_class,3,1.0,0.438362717628479,1388,2050,155,171,0.9941520467836257,0.9949999999999999,0.9939393939393939,0.9949999999999999,0.9943914313534566,0.9985611510791367,0.9926404196218904,0.999910071942446
ShuffleNetV2_x0_5,8,five_class,2,1.0,0.4524965146828813,1388,2050,155,171,0.9883040935672515,0.9848717948717949,0.9889894419306184,0.9848717948717949,0.9866919150501239,0.9970469652391849,0.9852764672358072,0.9998776599101783
ShuffleNetV2_x0_5,9,five_class,5,1.0,0.4132989209297805,1388,2050,155,171,0.9941520467836257,0.9939393939393939,0.9948717948717949,0.9939393939393939,0.9943256743256743,0.9984962406015038,0.9926407261249477,1.0
ShuffleNetV2_x0_5,10,five_class,3,1.0,0.42092607993828624,1388,2050,155,171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SqueezeNet1_1,1,five_class,5,1.0,0.4577068277569704,1387,2050,155,172,0.9883720930232558,0.985,0.9889894419306184,0.985,0.9867576720779063,0.9970686137657039,0.9853578612316511,1.0
SqueezeNet1_1,2,five_class,9,1.0,0.42549831784048747,1387,2050,155,172,0.9883720930232558,0.9894736842105264,0.9845938375350141,0.9894736842105264,0.986731471187241,0.9972453616054524,0.9854214803765803,1.0
SqueezeNet1_1,3,five_class,4,1.0,0.42752139166344044,1387,2050,155,172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SqueezeNet1_1,4,five_class,6,1.0,0.42203494213348214,1387,2050,155,172,0.9941860465116279,0.9947368421052631,0.9941176470588236,0.9947368421052631,0.9943482587064676,0.9985611510791367,0.9926841935379791,0.9999563985175495
SqueezeNet1_1,5,five_class,3,1.0,0.4465364939288089,1388,2050,155,171,0.9883040935672515,0.9885339885339886,0.985070785070785,0.9885339885339886,0.9866396227371836,0.9971829593753089,0.985247169206561,0.9999157437184693
SqueezeNet1_1,6,five_class,4,1.0,0.4339213984751562,1388,2050,155,171,0.9941520467836257,0.9949999999999999,0.9939393939393939,0.9949999999999999,0.9943914313534566,0.9985611510791367,0.9926404196218904,1.0
SqueezeNet1_1,7,five_class,5,1.0,0.42560856889563,1388,2050,155,171,0.9941520467836257,0.9949999999999999,0.9939393939393939,0.9949999999999999,0.9943914313534566,0.9985611510791367,0.9926404196218904,1.0
SqueezeNet1_1,8,five_class,4,1.0,0.42125900847870007,1388,2050,155,171,0.9941520467836257,0.99,0.9948717948717949,0.99,0.9922743922743923,0.9984962406015038,0.9926368848567295,0.9999604273842501
SqueezeNet1_1,9,five_class,2,0.9937116187668877,0.4523298832756734,1388,2050,155,171,0.9883040935672515,0.9878787878787879,0.9898717948717948,0.9878787878787879,0.9886209518329772,0.9969810890863522,0.9853197722844727,0.9999560825647782
SqueezeNet1_1,10,five_class,8,0.9937362368485442,0.4297908600310833,1388,2050,155,171,0.9824561403508771,0.9842105263157894,0.9833333333333332,0.9842105263157894,0.9830851697438951,0.9956521739130434,0.9781931793800929,1.0
