family,experiment,scenario,dataset,fold,n_splits,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path,source_datasets,target_dataset,exact_target_overlap_removed
baselines,within_cv,B_within,B,3.0,5.0,mobilenet_v2,44,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,2231558,2231558,3,0.9814758135352416,436.3181417210035,1290.1484375,0.9703843730308759,0.9734004864584477,0.9719117960070597,0.9734004864584477,0.972532173451815,0.993972021514967,0.9642162859428812,,0.5416941434144974,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/B_within/seed_44/fold_03/metrics.json,,,
baselines,within_cv,B_within,B,2.0,5.0,mobilenet_v2,43,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,2231558,2231558,10,0.9846119081917276,747.6962312140022,1291.64453125,0.9829867674858223,0.9844613289151501,0.9851871746485954,0.9844613289151501,0.9847847891694422,0.9964761215533543,0.9793843220521363,,0.5034128040075302,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/B_within/seed_43/fold_02/metrics.json,,,
baselines,within_cv,B_within,B,4.0,5.0,mobilenet_v2,45,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,2231558,2231558,14,0.9885718969024989,861.0064980489988,1290.1484375,0.984247006931317,0.986513040392616,0.9859354274203643,0.986513040392616,0.9861661842663411,0.9967546354527962,0.9808474914869876,,0.506131928563118,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/B_within/seed_45/fold_04/metrics.json,,,
baselines,within_cv,B_within,B,1.0,5.0,mobilenet_v2,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5713,635,1588,2231558,2231558,16,0.9912582823507564,1004.4371274139994,1291.9140625,0.9842569269521411,0.9836835202549533,0.9852980410195707,0.9836835202549533,0.9844579248022621,0.9967743919308476,0.9809212961316127,,0.49594022274017335,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/B_within/seed_42/fold_01/metrics.json,,,
baselines,within_cv,C_within,C,5.0,5.0,mobilenet_v2,46,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1193,133,331,2228996,2228996,23,0.8535472171378211,61.60499210999842,1309.478515625,0.8217522658610272,0.7991268496927567,0.7984575881634706,0.7991268496927567,0.7926142053192342,0.9250370649110086,0.7049708171532346,,0.9517186758193102,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/C_within/seed_46/fold_05/metrics.json,,,
baselines,within_cv,C_within,C,3.0,5.0,mobilenet_v2,44,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1192,133,332,2228996,2228996,5,0.80591046277666,25.99275040899738,1299.701171875,0.7379518072289156,0.7664790870307607,0.7224179355719744,0.7664790870307607,0.7402332005684131,0.9025660831327514,0.5971682270265231,,1.0375597314401106,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/C_within/seed_44/fold_03/metrics.json,,,
baselines,within_cv,C_within,C,2.0,5.0,mobilenet_v2,43,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1193,133,331,2228996,2228996,18,0.8756923757910731,73.40337513299892,1291.251953125,0.8398791540785498,0.8487738787034562,0.8260337601108392,0.8487738787034562,0.8365101929041865,0.9407159993190519,0.7548003483852853,,0.9093350009484724,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/C_within/seed_43/fold_02/metrics.json,,,
baselines,within_cv,C_within,C,4.0,5.0,mobilenet_v2,45,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1193,133,331,2228996,2228996,17,0.8865099783427084,49.202844136998465,1309.478515625,0.8217522658610272,0.8259152079804255,0.8159303160919541,0.8259152079804255,0.8204154101433521,0.9318555948759106,0.735916645725678,,0.9628542729399421,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/C_within/seed_45/fold_04/metrics.json,,,
baselines,within_cv,C_within,C,1.0,5.0,mobilenet_v2,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1192,133,332,2228996,2228996,10,0.8149729698642743,62.747976083999674,1290.974609375,0.8102409638554217,0.8263332086761407,0.7919362132169536,0.8263332086761407,0.8026144384209905,0.9277221412397176,0.7045440332718926,,0.9930153434926813,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/C_within/seed_42/fold_01/metrics.json,,,
baselines,within_cv,A_within,A,5.0,5.0,mobilenet_v2,46,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,2230277,2230277,5,1.0,63.75908130099924,1290.9990234375,0.993920972644377,0.991041592605759,0.9902930402930403,0.991041592605759,0.9905282724231148,0.99854409755072,0.9919560824099463,,0.5787542543627999,/home/eecommu06/Documents/BT/Chili_CrossDataset/results/baselines/mobilenet_v2/within_cv/A_within/seed_46/fold_05/metrics.json,,,
