family,experiment,scenario,source_datasets,target_dataset,exact_target_overlap_removed,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path,dataset,fold,n_splits
proposed,within_cv,B_within,,,,chilli_lite_gfnet,45,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,1026197,1026197,14,0.9859325867362144,662.8335230319972,335.49365234375,0.9810964083175804,0.9842588955527432,0.9830799507882815,0.9842588955527432,0.9834747672673615,0.9961255910685104,0.9771082039623192,,0.5095506393909455,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_45/fold_04/metrics.json,B,4.0,5.0
proposed,within_cv,B_within,,,,chilli_lite_gfnet,43,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,1026197,1026197,10,0.981017170626023,567.000200667997,335.49365234375,0.9798361688720857,0.9814472736287274,0.9809418894500576,0.9814472736287274,0.9811665409403575,0.9958928770163679,0.9755601677953812,,0.5106532430648804,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_43/fold_02/metrics.json,B,2.0,5.0
proposed,within_cv,B_within,,,,chilli_lite_gfnet,44,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,1026197,1026197,18,0.9814324228202597,790.7616577179979,335.49365234375,0.980466288594833,0.981757546626072,0.981844906125624,0.981757546626072,0.9817702975736365,0.9960055385559677,0.976359435269558,,0.5071006965637207,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_44/fold_03/metrics.json,B,3.0,5.0
proposed,within_cv,B_within,,,,chilli_lite_gfnet,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5713,635,1588,1026197,1026197,12,0.9937319332679205,619.4796578820024,344.02490234375,0.9804785894206549,0.9805999364766613,0.9818939860513044,0.9805999364766613,0.9811292556920534,0.9960115261579926,0.9763896766461773,,0.5037055057287216,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_42/fold_01/metrics.json,B,1.0,5.0
proposed,within_cv,B_within,,,,chilli_lite_gfnet,46,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,5714,635,1587,1026197,1026197,12,0.9927049535656454,602.9868914260005,335.49365234375,0.9861373660995589,0.9870832137037521,0.9871058778246367,0.9870832137037521,0.9870532900858578,0.9971773307954596,0.9832490174008078,,0.4954874688386917,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/B_within/seed_46/fold_05/metrics.json,B,5.0,5.0
proposed,within_cv,A_within,,,,chilli_lite_gfnet,45,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,1026036,1026036,14,1.0,95.1023383339998,339.52392578125,0.9969604863221885,0.9944444444444445,0.9928571428571429,0.9944444444444445,0.9935467349551856,0.9993377483443708,0.9960125506026005,,0.5682183449918573,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_45/fold_04/metrics.json,A,4.0,5.0
proposed,within_cv,A_within,,,,chilli_lite_gfnet,43,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1185,132,330,1026036,1026036,10,1.0,76.43643465899731,339.52392578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5524780370972373,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_43/fold_02/metrics.json,A,2.0,5.0
proposed,within_cv,A_within,,,,chilli_lite_gfnet,44,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,1026036,1026036,4,1.0,53.06361620499956,339.52392578125,0.9969604863221885,0.9975903614457831,0.9977011494252874,0.9975903614457831,0.997631809423717,0.9991769547325102,0.9960910510662325,,0.7077027884396639,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_44/fold_03/metrics.json,A,3.0,5.0
proposed,within_cv,A_within,,,,chilli_lite_gfnet,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1185,132,330,1026036,1026036,7,1.0,65.40661053599979,337.7412109375,0.990909090909091,0.9785714285714284,0.9880933648046157,0.9785714285714284,0.9825981642019379,0.9977850934188108,0.9882107926091009,,0.6028740839524702,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_42/fold_01/metrics.json,A,1.0,5.0
proposed,within_cv,A_within,,,,chilli_lite_gfnet,46,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,1186,132,329,1026036,1026036,7,1.0,65.22578040699955,339.52392578125,0.9969604863221885,0.9925925925925926,0.9974358974358974,0.9925925925925926,0.9949360925136943,0.9992063492063492,0.9959747167625711,0.9999754721609027,0.5626223845915361,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/A_within/seed_46/fold_05/metrics.json,A,5.0,5.0
proposed,within_cv,C_within,,,,chilli_lite_gfnet,45,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1193,133,331,1025875,1025875,13,0.8802648719062093,33.30792099699829,339.51806640625,0.8036253776435045,0.8012563523433089,0.8037147743902878,0.8012563523433089,0.7996472663139329,0.9239305853895705,0.7084458708413373,,0.9954746528105303,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_45/fold_04/metrics.json,C,4.0,5.0
proposed,within_cv,C_within,,,,chilli_lite_gfnet,43,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1193,133,331,1025875,1025875,14,0.8520990764734939,35.6892146579994,340.22216796875,0.8398791540785498,0.8577551556424796,0.8239773610783517,0.8577551556424796,0.8393523006520772,0.9401154049698106,0.7570569693883336,,0.8954858508977023,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_43/fold_02/metrics.json,C,2.0,5.0
proposed,within_cv,C_within,,,,chilli_lite_gfnet,44,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1192,133,332,1025875,1025875,21,0.8514359501201607,47.432752373002586,339.51806640625,0.8253012048192772,0.8108330625067706,0.8088134382888268,0.8108330625067706,0.8052116620878779,0.9253938853210438,0.7155806707385507,,0.9702670140699907,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_44/fold_03/metrics.json,C,3.0,5.0
proposed,within_cv,C_within,,,,chilli_lite_gfnet,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1192,133,332,1025875,1025875,30,0.8326008327580059,62.77271694799856,335.486328125,0.7981927710843374,0.7726364996260284,0.7793030753968255,0.7726364996260284,0.774183941938678,0.9145399025718175,0.6670761424401006,,1.0022729432040995,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_42/fold_01/metrics.json,C,1.0,5.0
proposed,within_cv,C_within,,,,chilli_lite_gfnet,46,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,1193,133,331,1025875,1025875,12,0.7830803101250957,33.30843381299928,335.486328125,0.8096676737160121,0.8102809186501825,0.7894120668298136,0.8102809186501825,0.7934282959326788,0.9238257338118053,0.69425406097978,,0.9646894308653745,/home/bt/Documents/BT/Chilli_CrossDataset/results/proposed/chilli_lite_gfnet/within_cv/C_within/seed_46/fold_05/metrics.json,C,5.0,5.0
