model,fold,first_epoch,last_epoch,epochs_recorded,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_f1_macro,final_val_f1_macro
Proposed,7,1,11,11,0.3947216985865337,0.3911292418356865,0.9990243902439024,1.0,0.9990243887929636,1.0
Proposed,8,1,13,13,0.3948186311489198,0.3981502765609372,0.9985365853658535,0.9935483870967742,0.9985365846403844,0.9937362368485442
Proposed,9,1,10,10,0.400073867832742,0.3916751434726099,0.9965853658536584,1.0,0.9965865483793204,1.0
Proposed,10,1,13,13,0.4039630582855969,0.421566814761008,0.9965853658536584,0.9870967741935484,0.9965835695755376,0.984799492145819
ResNet18,1,1,8,8,0.4086486614041212,0.3989182187664893,0.9985365853658535,1.0,0.9985359890300328,1.0
ResNet18,2,1,11,11,0.3972050709840728,0.4007910886118488,0.9995121951219512,1.0,0.999512194396482,1.0
ResNet18,3,1,8,8,0.406307584948656,0.4035151191296116,0.9985365853658535,1.0,0.9985365657779476,1.0
ResNet18,4,1,8,8,0.4074651768440153,0.3995583180458315,0.9970731707317072,1.0,0.997071375179056,1.0
ResNet18,5,1,8,8,0.4043041504883184,0.4004073612151607,0.9990243902439024,1.0,0.9990243895184332,1.0
ResNet18,6,1,9,9,0.4101726463364392,0.4043953391813463,0.9980487804878048,0.9935483870967742,0.9980487688802432,0.9937362368485442
ResNet18,7,1,8,8,0.4259979344577324,0.4029917565084273,0.9951219512195122,1.0,0.9951207541950536,1.0
ResNet18,8,1,8,8,0.4059405562935806,0.4060214502196158,0.9980487804878048,0.9935483870967742,0.9980499586817936,0.9937362368485442
ResNet18,9,1,8,8,0.4284631740756151,0.417642104817975,0.9921951219512196,0.9935483870967742,0.9922010447095708,0.9937116187668876
ResNet18,10,1,13,13,0.4051973525489248,0.420790655766764,0.9990243902439024,0.9935483870967742,0.9990243887929636,0.9937116187668876
ShuffleNetV2-×0.5,1,1,10,10,0.4220376920700073,0.4007515811151074,0.9946341463414634,1.0,0.9946317500948532,1.0
ShuffleNetV2-×0.5,2,1,15,15,0.4115511209208791,0.4006360603917029,0.9960975609756098,1.0,0.9960957414450252,1.0
ShuffleNetV2-×0.5,3,1,11,11,0.4167495048918375,0.3997972025025275,0.9965853658536584,1.0,0.9965853571373836,1.0
ShuffleNetV2-×0.5,4,1,10,10,0.4167215891000701,0.3994295199071207,0.9960975609756098,1.0,0.996095174186682,1.0
ShuffleNetV2-×0.5,5,1,13,13,0.4091208588786241,0.4025256670290424,0.9960975609756098,1.0,0.9960987355157612,1.0
ShuffleNetV2-×0.5,6,1,10,10,0.4171070766448974,0.4017016033972463,0.9951219512195122,1.0,0.9951237315213428,1.0
ShuffleNetV2-×0.5,7,1,10,10,0.4205110731357481,0.3976144163839278,0.9951219512195122,1.0,0.9951243271316949,1.0
ShuffleNetV2-×0.5,8,1,9,9,0.434034214659435,0.4011821071947775,0.9892682926829268,1.0,0.9892634762756172,1.0
ShuffleNetV2-×0.5,9,1,12,12,0.4123752816130475,0.4038876191262276,0.9965853658536584,0.9935483870967742,0.9965829282222004,0.9937116187668876
ShuffleNetV2-×0.5,10,1,10,10,0.4173824269597123,0.4083066371179396,0.995609756097561,0.9935483870967742,0.9956091546834542,0.9937116187668876
SqueezeNet1.1,1,1,12,12,0.4137359656066429,0.434911681759742,0.9985365853658535,1.0,0.9985365810077164,1.0
SqueezeNet1.1,2,1,16,16,0.4093560877660425,0.4111088985396969,0.997560975609756,1.0,0.997560963276725,1.0
SqueezeNet1.1,3,1,11,11,0.4106840214205951,0.4242800343421197,0.9985365853658535,0.9935483870967742,0.9985365831894456,0.9937116187668876
SqueezeNet1.1,4,1,13,13,0.4057973022286485,0.4063218803175034,1.0,1.0,1.0,1.0
SqueezeNet1.1,5,1,10,10,0.4078493806792468,0.4219293577055777,0.9990243902439024,0.9935483870967742,0.9990243844401216,0.9939044100669592
SqueezeNet1.1,6,1,11,11,0.4136007687812898,0.4104694904819612,0.9985365853658535,1.0,0.9985359890300328,1.0
SqueezeNet1.1,7,1,12,12,0.4107223394440442,0.4125538270319662,0.9995121951219512,1.0,0.999512194396482,1.0
SqueezeNet1.1,8,1,11,11,0.4170072930905877,0.4107285178476764,0.9970731707317072,1.0,0.9970731663735698,1.0
SqueezeNet1.1,9,1,9,9,0.4115035429814966,0.4402397346112036,0.9985365853658535,0.9935483870967742,0.9985365788366036,0.9937116187668876
SqueezeNet1.1,10,1,15,15,0.4084376507561381,0.4227721662290634,0.9995121951219512,0.9935483870967742,0.999512194396482,0.9937116187668876
