repeat,seed,regime,job_tag,holdout,method,train_channels,parameters,selected_epoch,best_validation_log10_BER,training_seconds
2,260818,matched,MATCHED_RicianLOS,,RNND_Zhu,RicianLOS,25816,8000,-1.1651193676529117,73.9471257320838
2,260818,matched,MATCHED_RicianLOS,,CNN_RNND,RicianLOS,27033,8000,-1.1215716065043755,67.12168157007545
2,260818,matched,MATCHED_RicianLOS,,Proposed_CA_CNN_RNND,RicianLOS,27417,7800,-1.2988594311762314,68.01628035900649
2,260818,matched,MATCHED_Impulsive,,PNND,Impulsive,24904,7800,-0.87952085036383,48.54805510502774
2,260818,matched,MATCHED_Impulsive,,RNND_Zhu,Impulsive,25816,8000,-1.0583667732361848,78.95210203307215
2,260818,matched,MATCHED_Impulsive,,CNN_RNND,Impulsive,27033,8000,-1.0739362224501083,68.2113800359657
2,260818,matched,MATCHED_Impulsive,,Proposed_CA_CNN_RNND,Impulsive,27417,8000,-1.0701299637937418,69.30269172799308
2,260818,unseen,UNSEEN_Impulsive,Impulsive,PNND,AWGN|Rayleigh|RicianLOS,24904,7800,-1.148455994496396,47.35659520793706
2,260818,unseen,UNSEEN_Impulsive,Impulsive,RNND_Zhu,AWGN|Rayleigh|RicianLOS,25816,7800,-1.2714908131155815,75.89790672599338
2,260818,unseen,UNSEEN_Impulsive,Impulsive,CNN_RNND,AWGN|Rayleigh|RicianLOS,27033,8000,-1.164622845862076,65.14786960498895
2,260818,unseen,UNSEEN_Impulsive,Impulsive,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS,27417,8000,-1.322142111666869,64.55269931000657
3,260819,mixed,MIXED,,PNND,AWGN|Rayleigh|RicianLOS|Impulsive,24904,8000,-1.137928286722735,45.06294713902753
3,260819,mixed,MIXED,,RNND_Zhu,AWGN|Rayleigh|RicianLOS|Impulsive,25816,7400,-1.2074834308840285,75.57952092797495
3,260819,mixed,MIXED,,CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27033,7600,-1.1240726457026087,65.3758813450113
3,260819,mixed,MIXED,,Proposed_CA_CNN_RNND,AWGN|Rayleigh|RicianLOS|Impulsive,27417,7400,-1.2071489224975924,65.64189796696883
3,260819,matched,MATCHED_AWGN,,PNND,AWGN,24904,6600,-1.7897912484684737,42.74299301800784
3,260819,matched,MATCHED_AWGN,,RNND_Zhu,AWGN,25816,5800,-1.8390091463532032,73.57813989999704
