Model,Fold,Accuracy,Recall,TNR,F1,MCC,TrainTime_s
RNDDNet_only,9,0.9849372384937238,0.9813872896429002,0.996996059080023,0.9828419507687464,0.9819838025738681,834.3067660331726
RNDDNet_only,10,0.9429301533219762,0.939569829118659,0.9886898761064732,0.937560695201591,0.9313070303211187,833.9014339447021
Concat_noAttn,1,0.9899328859060402,0.9885714285714285,0.9979757085020243,0.9893209354747817,0.9880163956535472,815.8994193077087
Concat_noAttn,2,0.9880573248407644,0.9899591992859875,0.9976098256967397,0.9890036339393773,0.9857204422673108,806.4192221164703
Concat_noAttn,3,0.994979079497908,0.9946656258131669,0.9990072048995975,0.9946559680635018,0.9939699383098161,816.8061611652374
Concat_noAttn,4,0.9756493506493507,0.9747174882414025,0.9951913539280781,0.9742093541652123,0.9707928059959559,798.2841951847076
Concat_noAttn,5,0.9634974533106961,0.9621174374348266,0.9927274044723937,0.9616910322016974,0.9563198701962743,817.435319185257
Concat_noAttn,6,0.997564935064935,0.9976000946441549,0.999525166191833,0.997410575003706,0.9970721488719185,828.5741605758667
Concat_noAttn,7,0.9712879409351928,0.9744824211735977,0.9938959298008939,0.9757136532891084,0.9657032635665972,807.3087368011475
Concat_noAttn,8,0.9574090505767524,0.9525844674515044,0.9915552142338164,0.953052926702943,0.9503964361753164,812.956640958786
Concat_noAttn,9,0.9916317991631799,0.9903116603606471,0.9983197087613346,0.9909412623633482,0.9899296047068458,836.5580661296844
Concat_noAttn,10,0.9369676320272572,0.941095117965852,0.987751959966586,0.9320432525967096,0.9260605270889739,822.7657463550568
VGG_EffAttnNet,1,0.9664429530201343,0.9633686166774402,0.9933242268838046,0.9635043595290224,0.9601985292670522,1083.0051000118256
VGG_EffAttnNet,2,0.9633757961783439,0.9680741226177673,0.9926319535261331,0.9662570309196022,0.9568251847813692,1072.0218465328217
VGG_EffAttnNet,3,0.9598326359832636,0.9550356759832783,0.9917420814482026,0.9580751234961968,0.9525771832101836,1075.1503813266754
VGG_EffAttnNet,4,0.9772727272727273,0.9762509221277775,0.9955107318194464,0.9758559210716196,0.9727205579564422,1077.5616216659546
VGG_EffAttnNet,5,0.9473684210526315,0.9487774155966694,0.9894740327372237,0.9471409711707067,0.9376852424914307,1076.4651896953583
VGG_EffAttnNet,6,0.9821428571428571,0.9804290006370112,0.9963305818794238,0.9821481863958367,0.9786126451833971,1071.8693130016327
VGG_EffAttnNet,7,0.9729286300246104,0.9752843186488822,0.9942355879125402,0.9766516924518918,0.9679058397600078,1076.0760877132416
VGG_EffAttnNet,8,0.9787045252883763,0.97676253406948,0.9957558587954626,0.9774721697965107,0.9745654237288833,1081.3599529266357
VGG_EffAttnNet,9,0.9748953974895398,0.9702748846771639,0.9949722118533076,0.9721318620191534,0.9698702958770505,1074.4099307060242
VGG_EffAttnNet,10,0.9846678023850085,0.9806146172871276,0.9969455926197354,0.981866871152028,0.9815262947398924,1076.8989987373352
MobileNetV2,1,0.9823825503355704,0.9803719503355109,0.9964673532146593,0.9812785833524561,0.9789493135821739,830.0323185920715
MobileNetV2,2,0.9609872611464968,0.9662754190184412,0.9921964211413968,0.9636774458566277,0.9537196121661806,818.7910940647125
MobileNetV2,3,0.9732217573221758,0.9759790528233151,0.9946304759218428,0.9745166834331261,0.9682223970563879,828.8620445728302
MobileNetV2,4,0.9675324675324676,0.9656448416893717,0.9935773728471275,0.9654516801161894,0.9610048495542326,821.8255062103271
MobileNetV2,5,0.9465195246179966,0.9446614489238994,0.9892834245536394,0.9444650650991872,0.9359388025251992,812.7679309844971
MobileNetV2,6,0.9780844155844156,0.9803178455154407,0.9956320395851824,0.9786543268239457,0.9737181425129448,819.961793422699
MobileNetV2,7,0.9524200164068909,0.9590694055972615,0.9901796434901868,0.9584602560650151,0.9425313646259723,824.5337474346161
MobileNetV2,8,0.9600709849157054,0.9561863072803035,0.992082025173104,0.9559247859692035,0.9523437257898062,818.7179157733917
MobileNetV2,9,0.9606694560669456,0.9553330385084976,0.9922100892144975,0.9559226816451463,0.9528716888779907,833.4703416824341
MobileNetV2,10,0.9642248722316865,0.9625341611326773,0.9929088929838468,0.9616243067822016,0.9569652285437978,851.690544128418
GSAtt_CMNetV3,1,0.985738255033557,0.9854360344814536,0.9971407764356018,0.9856201668083929,0.9828907222985254,850.3373005390167
GSAtt_CMNetV3,2,0.9697452229299363,0.9722029343678393,0.9939140662047395,0.9709841630783612,0.963602744438169,849.1221668720245
GSAtt_CMNetV3,3,0.9815899581589959,0.9836974116672867,0.9963494814104693,0.9822769152529376,0.9780448580057026,832.6880910396576
GSAtt_CMNetV3,4,0.9780844155844156,0.9769413684476906,0.9956841886610449,0.9764304884283007,0.9736983876779051,822.8435070514679
GSAtt_CMNetV3,5,0.9626485568760611,0.9635627708619072,0.9925344862091103,0.9628284351251063,0.9552139116992667,850.3690285682678
GSAtt_CMNetV3,6,0.984577922077922,0.9857522821990967,0.9968638219806634,0.9855864329191838,0.9815431527647019,822.1563220024109
GSAtt_CMNetV3,7,0.9515996718621821,0.9598319490165252,0.9900985373378045,0.9574743705151184,0.9416912896580305,840.2728018760681
GSAtt_CMNetV3,8,0.9281277728482697,0.9220474119354437,0.98559487692577,0.9230022838603453,0.9143112069117374,837.0926365852356
GSAtt_CMNetV3,9,0.9723849372384937,0.9710167207072113,0.9945075971680629,0.9703644377321883,0.9671741868345735,819.9470067024231
GSAtt_CMNetV3,10,0.9437819420783645,0.9357938296355348,0.988636964664849,0.9391945196028386,0.9326681793011599,827.2571675777435
